Subcategory,Department,Lineitem,FY24_ACTUAL,FY25_REQUESTED,FY25_ACTUAL,FY26_DEPT,FY26_PROPOSED,CHANGE_DOLLARS,CHANGE_PERCENT
GENERAL GOVERNMENT,Moderator,Stipend,100,100,100,100,100,0,0
GENERAL GOVERNMENT,Select Board,Executive Assistant,28111,28673,28673,36870,31894,3221,11
GENERAL GOVERNMENT,Select Board,Expenses,800,800,800,800,800,0,0
GENERAL GOVERNMENT,Select Board,Binding of Records,250,0,0,0,0,0,0
GENERAL GOVERNMENT,Select Board,Advertising,1500,1500,1500,1500,500,-1000,-67
GENERAL GOVERNMENT,Select Board,Legal,40000,40000,40000,40000,40000,0,0
GENERAL GOVERNMENT,Select Board,Town Clock Maint.,1000,0,0,0,0,0,0
GENERAL GOVERNMENT,Select Board,Postage,1000,1000,1000,1000,4000,3000,300
GENERAL GOVERNMENT,Select Board,Office Supplies,2500,2500,2500,2500,1500,-1000,-40
GENERAL GOVERNMENT,Select Board,Town Report,500,500,500,500,500,0,0
GENERAL GOVERNMENT,Select Board,Memorial Day,1500,1500,1500,3000,1500,0,0
GENERAL GOVERNMENT,Town Admin,Salary,110000,112200,112200,112200,115566,3366,3
GENERAL GOVERNMENT,Town Admin,Cell Phone Stipend,600,600,600,600,600,0,0
GENERAL GOVERNMENT,Town Admin,Expenses,6600,7600,6600,8000,6600,0,0
GENERAL GOVERNMENT,Finance Committee,FC Expenses,200,200,200,200,200,0,0
GENERAL GOVERNMENT,Finance Committee,FC Reserve Fund,30000,30000,30000,30000,30000,0,0
GENERAL GOVERNMENT,Accountant,Accountant Services,23500,23970,23970,24929,24449,479,2
GENERAL GOVERNMENT,Accountant,Annual Audit,19500,19500,19500,19500,19500,0,0
GENERAL GOVERNMENT,Accountant,Accountant Expense,300,500,300,800,800,500,167
GENERAL GOVERNMENT,Accountant,Travel,1500,1500,0,0,0,0,0
GENERAL GOVERNMENT,Assessor,Expenses (association dues),275,275,275,275,275,0,0
GENERAL GOVERNMENT,Assessor,Assessing Services,73500,75000,75000,79380,77500,2500,3
GENERAL GOVERNMENT,Assessor,Assistant,10000,20000,12000,12000,12000,0,0
GENERAL GOVERNMENT,Treasurer Collector,Salary,65000,66300,66300,68952,70112,3812,6
GENERAL GOVERNMENT,Treasurer Collector,Certification,1000,1000,1000,1000,1000,0,0
GENERAL GOVERNMENT,Treasurer Collector,Assistant Treasurer Collector,42204,43048,43048,44770,43909,861,2
GENERAL GOVERNMENT,Treasurer Collector,Expenses (Dues and Workshops),870,13000,1300,1300,1300,0,0
GENERAL GOVERNMENT,Treasurer Collector,Payroll Services,3500,3500,3500,4500,3500,0,0
GENERAL GOVERNMENT,Treasurer Collector,Expenses (Veri and Bank Fees),4800,4800,4800,4800,4800,0,0
GENERAL GOVERNMENT,Treasurer Collector,Expenses (Postage and Supplies),7300,7450,7450,7450,5450,-2000,-27
GENERAL GOVERNMENT,Treasurer Collector,Tax Title,2000,2000,1000,2000,1000,0,0
GENERAL GOVERNMENT,Information Technology,IT Maintenance,70000,80000,78000,85000,85000,7000,9
GENERAL GOVERNMENT,Information Technology,Copier,3000,3000,3000,3000,3000,0,0
GENERAL GOVERNMENT,Information Technology,Website,3000,3000,3000,3000,3000,0,0
GENERAL GOVERNMENT,Town Clerk,Town Cerk Salary,47500,60000,55500,57720,57720,2220,4
GENERAL GOVERNMENT,Town Clerk,Election Wages,3375,4000,4000,8000,4000,0,0
GENERAL GOVERNMENT,Town Clerk,Expenses (Conf Dues Mileage),870,1200,1200,1200,1200,0,0
GENERAL GOVERNMENT,Town Clerk,Expenses (Binding Safe Deposit),750,750,750,2795,1750,1000,133
GENERAL GOVERNMENT,Town Clerk,Supplies,9500,9500,9500,9500,7500,-2000,-21
GENERAL GOVERNMENT,Building & Maintenance,Custodian,10140,10140,10343,17357,16861,6518,63
GENERAL GOVERNMENT,Building & Maintenance,Utiities and Maintenance,31000,31000,31000,41000,40000,9000,29
GENERAL GOVERNMENT,Building & Maintenance,Phone,6500,6500,6500,5500,5500,-1000,-15
GENERAL GOVERNMENT,Total,,669598,718106,688408,742797,724886,36478,5
PUBLIC SAFETY,Police,Police Chief Salary,96500,98430,98430,101383,101383,2953,3
PUBLIC SAFETY,Police,Police Wages,525636,536739,505000,511345,510050,5050,1
PUBLIC SAFETY,Police,Police Assistant,16699,21026,21026,21026,21423,397,2
PUBLIC SAFETY,Police,Police Training Expense,2000,2000,2000,2000,2000,0,0
PUBLIC SAFETY,Police,Police Education,6400,9500,8000,7000,5500,-2500,-31
PUBLIC SAFETY,Police,Police Equipment,3300,3300,3300,9100,9100,5800,176
PUBLIC SAFETY,Police,Stipends & Allowances,18850,25300,18850,13750,11000,-7850,-42
PUBLIC SAFETY,Police,Mileage,500,500,500,500,500,0,0
PUBLIC SAFETY,Police,Police Maintenance,4320,4820,4820,4820,4820,0,0
PUBLIC SAFETY,Police,Police Vehicle,7000,8000,8000,8000,8000,0,0
PUBLIC SAFETY,Police,Police Equipment Services,14600,15800,15800,24450,24450,8650,55
PUBLIC SAFETY,Police,Services,150,150,150,2350,2350,2200,1467
PUBLIC SAFETY,Police,Supplies,11650,12000,11650,12400,9000,-2650,-23
PUBLIC SAFETY,Fire,Fire Chief Salary,91694,94680,93528,96334,96334,2806,3
PUBLIC SAFETY,Fire,Fire Wages,302993,311118,311118,308656,311118,0,0
PUBLIC SAFETY,Fire,Fire Call Wages,75096,78700,75096,77526,75096,0,0
PUBLIC SAFETY,Fire,Equipment (Protective Clothing),2500,2500,2500,2500,2500,0,0
PUBLIC SAFETY,Fire,Vehicle Maintenance,21000,21000,15000,17000,17000,2000,13
